text,sentiment
"Love this app,I just wish that you can rate movie that you've watched but didn't buy the ticket at Tix (my mum prefers traditional payment idk why),I just use this to see the broadcast schedule:)",Positif
"tolonglah ditambah pilihan metode pembayarannya, sayang banget kalo cuma bisa pake dana. pas liat review jawabannya hampir sama semua:), itu sebenernya ada niat bikin appnya lebih baik atau yaudah gitu aja asal ada respon wkwk",Negatif
"Promo buy 1 get 1 nya gak jelas, udah ada aplikasi malah di arahin suruh download, begiti dibuka balik lagi ke menu utama Tix, capee deh....",Negatif
app ga jelas buat ragu aja,Positif
APLIKASI SAMPAH,Negatif
"Very good application, you can buy movie tickets in various types of cinemas, but unfortunately payment can only be made through Dana",Negatif
"Biaya layanan dihitung sesuai jumlah tiket yg dipesan, Rp. 4000 dikalikan jumlah tiket. Apakah tidak terlalu tinggi? Sementara aplikasi lain yg setara bisa memberlakukan biaya layanan per pemesanan, bukan per jumlah tiket.",Negatif
"bagusss, mudah dipakai wkwk. pertama kali nyoba beli tiket bioskop online jadi lebih mudah ya",Positif
cool,Positif
Mau reset pasword ga bisa2,Negatif
kalau bisa tolong tambahin payment selain dana yaa,Positif
"Beli tiket bioskop jadi gampang banget, tinggal buka aplikasi, pilih film, dan tap-tap layar. Nggak perlu lagi antri di loket tiket yang panjang dan ribet",Positif
Serasa di spam notifikasi iklan dan promo,Negatif
😃😃😃,Positif
love this! ❤️,Positif
biaya adminnya jangan gede² dong:(( trs perbanyak pilihan kalo mau redeem poin,Positif
"So far good, easy to use & no bugs. Recommended.",Positif
Skibidi,Positif
"Bagus sih, cumaa masukin nomer lama yg masih di pakai, sudah sulittttt",Negatif
Can only buy ticket with Dana (Blacklisted this e-wallet),Negatif
Luar biasa semua bioskop dalam 1 aplikasi,Positif
very good 🥰,Positif
I cannot make an order.,Negatif
Nice!,Positif
banyakkin promonya dong,Positif
Good job,Positif
welldone 💥💥💥💥💥,Positif
"31 maret sudah update sekarang 5 april disuruh update lagi sampe app gabisa dibuka & diperlukan update? Mending gausah sekalian, thank you",Negatif
"Good app, you can buy movie tickets from all over Indonesian Country, in XXI franchise and CGV Franchise.",Positif
Easy to use.,Positif
Tempat beli Tiket andalan,Positif
skip kalo pembayaran masih pakai DANA,Negatif
magnificent,Positif
Ngapain bikin aplikasi kalo tiket masih bisa dibeli orang lain. Aplikasi ini gada guna selain cuma buat liat film yg ready doang.,Negatif
"Sangat kecewa sihh, udah berkali-kali mau tukar poin Loyaltix buat tukar ke ticket Bioskop terus saja mengalami permasalahan sistem. Sudah di clear cache, clear data, force stop tetap saja mengalami permasalahan sistem yang mana akhirnya tidak bisa tukar poin & poin Loyaltix saya terancam bisa hangus atau expired karna ada tenggat waktu penukaran poinnya. Gak mungkin kuota hariannya bisa habis secepat itu karna saya tukar di jam-jam waktu sahur. Sangat-sangat kecewa. 😤",Negatif
The best Tix id,Positif
perfect,Positif
Tolong buatkan menu untuk hapus history pembelian/yang telah di tonton. Clear history transaction / Clear / delete movie transaction.,Negatif
mantuuull admin nya bisa kali dikurangin,Positif
"Been using this app since day 1 (I guess?), so far I am totally satisfied by how it developed so well, the improvements on every updates, the UI/UX, the experience & ease it gave us—compared to other cinema ticket purchasing app—this one is the most stable one. Bener"" pake dr pajak tiketnya 2rb smp skrg 4rb, even it survived the covid era, udh sering coba app lain tp emg gaada yg se-stabil & se-mudah ini experiencenya. Tp tolong bgt sering promo/adain voucher/jgn pelit lah ngasih pointnya😔",Positif
"Saya lupa password, ketika hendak minta reset kode tidak kunjung dikirim. Saat minta kode yang kedua kalinya malah muncul notifikasi OTP mencapai limit. Aplikasi tidak jelas. Kalau memang tidak boleh dua OTP dalam satu hari tidak perlu kasih opsi kirim ulang. Sudahlah menunggu 5 menit, masih gagal juga. Saya sangat tidak approve aplikasi ini, maaf. Tapi saya kecewa.",Negatif
akses mudah terbaik buat payment,Positif
Oke,Positif
"Bad customer service. I just want reschedule not refund, and the CS, Bella dont show friendly manner to explain it just reply with bot answer. Just rude. I'm download to this app for long time but I think I should uninstall it. Please improve the UI/UX for exp add the day & date not only date when choosing seat or make it bold and clear for transactions can not be canceled or reschedule it. Totally not worth the experience for cust service. And before I message via WA, I cant call the CS center.",Negatif
Semoga banyak promo dan biaya admin tolong jangan terlalu mahal,Positif
tidak ramah,Negatif
nice,Positif
Susah topup ribet pake mandiri,Negatif
Maybe you need have an option using Virtual Account,Positif
Very useful...thanks,Positif
Sangat membantu dalam memberikan informasi film yan sedang ditayangkan,Positif
"Terlalu mahal biaya adminnya, untuk kedepannya tolong dikurangi lagi harganya, kalau beli 2 tiket semoga bisa bayar dihitung satu saja, makasih.",Negatif
very helpful 👌 terimakasih,Positif
"Thought it would be convenient to use this, but its a terrible experience. UI is great, but the transfer between pages feel sluggish, and the processing time for booking is horrendous. By far the worst thing is forcing to pay through the worst e-wallet service I have ever used (Dana). I need to pay through that which requires me to top-up which requires me to do a bunch of unnecessary tasks in a garbagely set-up application. Just let me pay using a CC, debit card, or another payment gateway.",Negatif
Dah mantep dah pokoknya!,Positif
Kenapa muter²terus mau mesen ti ket malah muter²terus gjls,Negatif
"sejauh ini membantu kalo utk beli tiket, perlu diingat para pengguna, gunakan fitur utk pengembalian 50%",Positif
memudahkan beli tiket,Positif
"Mantap, sangat membantu utk yg hobi nonton",Positif
It's easy but it rarely gives discount,Negatif
"Lumayan okeh dan cepat tanpa antre, tp biaya adminnya masih kegedean hehehe. Overall good",Positif
"Buka akses lihat review untuk semua, review kok dikunci cuma boleh dilihat oleh yg sudah beli tiket.",Positif
eazy to used,Positif
"ga harus capek2 buka Mt** atau C*** buat ngecek film, disini ada semua, mantap, pembayaran gampang",Positif
"Metode pembayaran hanya bisa pake DANA, payah amat, mending uninstall aja, DANA udh blacklist bagi gue",Negatif
aplikasi cacat,Negatif
Sangat mempermudah proses pembelian tiket. App sangat jarang error.,Positif
kenapa ahir ahir ini gabisa dibukaa apknya:( apa hp ku yaa yg udah mulai lemott;((,Positif
very helpful but less flexible in payment,Positif
Aplikasi OK mantab dulu langganan tapi sekarang GA kayak dulu biaya layanan dulu cman 2000 sekarang 4000 murahin dong kalau GA samain dengan mtix yg cman 3000,Positif
great,Positif
"free to choose a seat, free to queue, feels like a private cinema, its soo great",Positif
Minusnya cuman bisa bayar via Dana,Negatif
jam 2 pagi refund,Positif
Excellent service,Positif
memudahkan,Positif
The admin fee is crazy tho.,Negatif
okeeyy,Positif
Membantu sekali untuk kita melihat update film dan kadwal film terkino,Positif
Bayar cuma bisa pake Dana.,Negatif
Mantul,Positif
Easy to use. Easy to pay. More Promo pleaseee,Positif
"Praktis.. Sangat mudah digunakan tinggal sat set , nonton",Positif
An option to select push notification types would be nice (for example: important push notification only). I received a lot of notification from TIX ID in a day and had to disable notification entirely,Negatif
"Rating di film2nya palsu banget, film yg sampah aja masih dikasih rating 9 sama aplikasinya",Negatif
"males banget pake dana, ga ada yg lain apa",Negatif
good aplikasi,Positif
Mempermudah membeli tiket bioskop. Nice Apps,Positif
Simple dan Gak Ribet klw mw beli tiket,Positif
Amazing 😍,Positif
Very easy and efficient to use,Positif
Memudahkan,Positif
eazy to use,Positif
Great app,Positif
"Mantap, gak perlu lagi antri-antrian",Positif
Always spamming annoying notification,Negatif
goid,Positif
good apps,Positif
"Good app! A very quick and convenient way to look on available movies that are showing on the nearest cinemas. One thing that it's lacking is, you can't book a ticket for a movie that is showing, even if it has only been 2 minutes past the time.",Positif
Ga bisa login di banyak hp. Masa 1 akun cuma 1 hape doang? Ga flexible banget.,Negatif
Easy use app,Positif
Apaan gabisa jalan di blakang layar... Gw daftar -> ngirim otp -> ngecek kotak pesan bentar -> eh tekeluar ke menu appnya.... Review 4.8 itu pake bot kah bang?,Negatif
Fun!!!,Positif
Aplikasi ini sangat membantu 50% cuma biyaya admin nya 4rb gak kaya aplikasi sebelah anjir mahal wkwkw walau beda seribu 🥰 good job developer nya sangat pandai,Positif
Great applicant,Positif
Walaupun lebih mahal tapi UI nya lebih friendly dan cakupanya lebih luas ga 1 *merek bioskop doang...,Positif
What's this? he said to come back tomorrow to get the otp code. but why can't it be done now? why is this. Why? Why? whyyyyy??? How do I buy tickets if I can't register???,Negatif
Lebih mudah menonton gak perlu antri dan nyan memilih kursi tempat duduk,Positif
Aplikasi yang sederhana dan memudahkan dalam memesan tiket,Positif
"Kenapa Akhir-akhir ini saya tidak bisa masuk ke aplikasi TIX ID?🤔 Saya sudah coba uninstal dan instal kembali aplikasi TIX ID, tapi tetap tidak bisa masuk😑. Saya harap masalah ini bisa SEGERA di perbaiki karena sangat mengganggu kenyamanan pengguna🙁 Saya kasih bintang⭐ 1 dulu",Positif
Keren dan functional,Positif
"Pencarian kursi-nya kurang oke. Karena sering hanya kelihatan kurang setengah studio saja. Coba tambah fitur seperti kursi rekomendasi atau gmn. Supaya ga pusing pilih kursi. 🤣 Sama bbrp lokasi Bintaro dan BSD Serpong masih Tangerang, bukan Tangsel, jadi bingung. Coba kasih opsi untuk melihat semua bioskop favorit tanpa ganti kota/provinsi.",Positif
very helpful,Positif
Bagus,Positif
so slow:),Negatif
good service and easy to use,Positif
Usefull!!!,Positif
Mantap,Positif
Worst,Negatif
ok.thanks.,Positif
biaya adminnya kemahalan sii kl pesan tiket online ☺️☺️,Negatif
"Udah lama pake tix id. Bagus. Hanya aja, okupansi tempat duduk kurang update. Contoh saya beli tiket langsung di loket di kursi A1. Setelah itu saya buka tix id, ternyata kursi A1 terlihat masih kosong dan bisa di booking. Itu aja sih. Semoga ke depannya bisa lebih update lagi.",Positif
excellent,Positif
i guess your forget pass feature (OTP) is using free tier. Only one time per day? And... OTP not sent to my phone number successfully,Negatif
Suka belly,Positif
platform praktis buat beli segala macam tiket biskop,Positif
"So much better than using the official XII app or GoTix, which is what I was doing before. One star less because the apps makss you go through the minor annoyance of starting a Dana account. Also, there are some smaller cinema chains outside of the big three which don't appear on the app - would be nice to have easy access to them too.",Positif
Lf3 And what you got about it and what you got it up about the guys. I don't worry hickwater in a book whatever hinda,Positif
Execelent,Positif
Bertahun-tahun masih aja sistem poin ga bisa dipakai. Guna nya apa dong ada fitur ini?,Negatif
Good app,Positif
"Great apps, but kalo promo nya di klik gabisa langsung ke film nya malah re direct ke web dulu terus mbalik ke apps wkwkwk cuma itu aja sih... Lainnya fine",Positif
Its help me a lot! Thankyou🩶,Positif
aplikasinya mudah dan gampang,Positif
"Metode pembayaran hanya bisa menggunakan DANA, alangkah baiknya jika bisa menggunakan debit online atau metode lain",Negatif
Comfortable app,Positif
✨✨✨,Positif
great and easy pay,Positif
Helpful....,Positif
Sangat membantu,Positif
Gak update bioskop yg sudah dolby atmos misalnya di margo xxi,Negatif
Very good!!,Positif
"Sistem payment hanya tersedia DANA, e-wallet lain, Qris, dan VA bank tak tersedia. Menyusahkan.",Negatif
Good cinema,Positif
Good..can be better..,Positif
Kerennnn coiii sangat mempermudah saya yang males beli offline,Positif
awesome,Positif
"Pop up mengganggu selalu muncul tiap buka aplikasi dan tombol klik close bertanda X amat sangat tidak berfungsi, klik area manapun tetap terbuka dialihkan ke browser membuka link promosi dalam pop up. AMAT SANGAT MENGGANGGU !!! Sekalipun hati-hati banget klik tombol closed tetapa aja kebuka link-nya. Makanya makin males pake TIX ID, prefer buka apps bioskopnya masing-masing.",Negatif
"App cukup memudahkan, tetapi ada kekurangannya..biaya layanan yg cukup mahal per/tiket...coba dipertimbangkan kembali, membuat app tp membuat penonton membayar biaya layanan cukup tinggi, hrsnya 1-2rb pertransaksi...dengan bgini minat org utk membeli di apps jg lbh byk.. Terima kasih",Negatif
Nyaman menggunakan TIX ID,Positif
Easy to use and fast to respon,Positif
"Pop up nya ganggu banget, njir. baru buka app langsung nongol pop up, kalo g sengaja kepencet langsung buka browser. Mending ke app bioskop aslinya dah kalo kaya Gini",Negatif
"Kebanyakan iklan deh sekarang, ganggu bgt. Fee nya juga naik mulu",Negatif
"Takedown saja app ini, jauh lebih cepat dan mudah M.tix, moda pembayaran juga lebih bagus, thumbsdown !",Negatif
Very useful,Positif
"How can my account is not getting the discount event while anyone got it , its not fair",Negatif
Baru-baru ini suka keluar sendiri.. ngecrash,Negatif
Mempermudah pengguna,Positif
bagus kupon kemahalan,Positif
Ngak Ngorot,Positif
i am like a aplikasi and wow buangett yaa aku suka ini aplikasi dan wah bangett yaa hahaha 1000×,Positif
Nice app,Positif
"Beli tiket bioskop jadi lebih mudah, gak perlu antri panjang 😊",Positif
"Kemahalan adminnya, Rp.4000, itupun per kursi bukan per transaksi, olshop aja Rp.1000/transaksi, padahal sistemnya lebih kompleks",Negatif
sae pisan euy👌🏻👍🏻😉,Positif
best,Positif
Bagus sangat membantu,Positif
sangat berguna apalagi kalau pas filmnya yg banyak diincer orang buat nonton jadi gak perlu ngantri,Positif
"Payment method using Dana only... Surabayan sad ""Goblox""",Negatif
mempermudah pembelian tiket bioskop.. terima kasih,Positif
Just 4 to now,Positif
Simple and easy,Positif
"Point tidak bisa digunakan apa apa, sampe terkumpul 12k. Biaya admin lumayan tinggi, tapi tidak pernah ada promo. Haduuuh, minimal promo koin lah biar bisa dipake nih koin",Negatif
okelah,Positif
"Sangat baik digunakan, mempermudah kita untuk memesan dan melihat update an terbaru di bioskop",Positif
Cannot register bcs not receive OTP code,Negatif
Auto uninstall Karna ga punya Dana,Negatif
Helpfull,Positif
Pesan tiket lbh mudah no antre no ribet pasti lgsg save kursi yg kita mau lbh cepat .. sip dtg lgsg scan barcode then ticket lgsg ready .. mantulity,Positif
is so good.....haaahhh,Positif
"buat apa punya tix id kalau gabisa booking dari jauh hari. ga ada gunanya, udah gitu metode pembayaran terkenal cuma bisa dana gabisa yang lain. aplikasi sampah.",Negatif
"Baru install, tapi tiap kali mau pilih seat langsung forced close.. 😑",Negatif
Excellent! better than CGV app itself.,Positif
"Bagus mempermudah cari film d bioskop mana yg lagi main. TAPI REVIEW film nya tdk sesuai, review terpaksa liat situs lain. Contoh Film rating 8 an tapi d tonton nyesel pas cek im*b ternyat d bawah 6 🤣.",Positif
sangat amat mmbantu untuk melihat jadwal bioskop,Positif
App ini bagus kok.,Positif
verry good,Positif
oke dan membantu,Positif
Kecewa banget gaada fitur refundnya...,Negatif
Banyakin promo. Dah naik 4000 skrg biaya adminnya,Negatif
Sangat memudahkan Dalam menonton bioskop,Positif
Åå,Positif
Buat apa ada Biaya admin sih???,Positif
Keren,Positif
Kenapa sekarang gak bisa nonton trailernya di aplikasi..error terus,Positif
Excellent Movie Experience !,Positif
Maaf aku gapake tix id lagi karena mtix udah bisa pake gopay...,Positif
kebanyakan iklan lu gondrong,Negatif
"Aneh. Kemarin liat jadwal Oppenheimer di Kediri udah ga ada, sekarang buka lagi ada, tapi udah sold out. Sistemnya gimana sih ini?",Negatif
"Trauma pake aplikasi ini. Beli tiket untuk jam 20:30 tiba-tiba pas mau Redeem tiket dia maintenance dong. Mana CS nya gak fast respond padahal butuh solusi urgent. Dipikir beli tiket gapake duit kali. Ngerugiin banget pokoknya! Edit: Percuma udah diatasin juga problemnya. Orang film nya udah tayang dan kenyataannya tiketnya gabisa di Redeem saat itu ko. Sekali lagi, ngerugiin.",Negatif
Desain bagus. Hanya perlu menambahkan lihat film in app dan permudahkan metode transaksi saja,Negatif
Gangguan terus 👎🏿,Negatif
Lawak bener lagi mau nonton malah MT,Negatif
"KACAUUUUU, BARU KALI INI KECEWA SAMA TIX ID. PESEN KURSI BERKALI KALI GAGAL, TRUS SEKALINYA BERHASIL PROSES KURSINYA LAMA, DITINGGAK OTW, SAMPE BIOSKOP APLIKASINYA MAINTENANCE, DINTANYA KE KASIR EH UDH DI PESEN ORANGG. KACAU KACAU TIXXXX",Negatif
"very bad, don't use this, posisi kursi di app sama kenyataanya di bioskopnya beda, milih kursi di tengah selilsih kiri sama kanan 4 dan 6 kursi, sampe bioskop ternyata kursi yg di pesen di pojok kiri bukan d tengah",Negatif
All great,Positif
Great 👍🏻,Positif
sebaiknya adakan fitur ganti jam nonton atau refund tiket. aplikasi pasti akan lebih berguna. terima kasih,Negatif
easy access and helpful,Positif
"Unbelievable service. App keeps crashing, unable to book tickets. Encountered this problem a couple of times. I've been using this app for a while, I thought it was just a momentary bugs at first, boy I was wrong. Better to use mtix or cgv official service, cheaper and greater offers too. Bye tix id. Thank you for your service. Smh.",Negatif
Bermasalah sma pembayaran di dana. Pahadal jaringan full bagus. Tpi gagal bayar dgn info kendala dengan jaringan,Negatif
"ampas, ga bisa transaksi",Negatif
"Update kursi yg udah terisi lama banget. Pas mau book kursi jadinya cuman loading aja. (Edited) Ya Allah demi apapun udah setahun lalu ngereview ttep aja gada perubahan. Update kursinya gajelas. Di aplikasi tersedia kursinya, tapi berkali2 melakukan pembayaran katanya jaringan ga stabil:) kacau. Padahal jaringan gue aman tentram.",Negatif
Selalu terjadi kesalahan setiap akan memutar video trailer.. Sudah lama kok tidak ada perbaikan.,Negatif
Too much notification spam. Please make it opt-in & provide a clear way to opt out.,Negatif
"Iklan pop up-nya annoying bgt, kalau gak sengaja ke pencet bakal forward ke browser terus balik lagi ke aplikasi. Mending ilangin aja!",Positif
"Great app, need more time to adjust",Positif
All the Best..!!!,Positif
gabisa connect dana,Negatif
Pembayaran cuma bisa lewat DANA dan gak ada info sebelum pendaftaran. Bahkan transfer biasa pun gak bisa. Sungguh butut. Edit: Saya gak terkendala DANA. Saya cuman gak mau bikin akun e-wallet lagi. Cukup satu aja. By default harusnya bisa transfer bank lah.,Negatif
mantap bgt,Positif
(2019 review reupload) Great app. Booking movie tickets online has never been easy and handy.,Positif
Mudah digunakan dan sangat membantu,Positif
Amazing,Positif
kenapa saya ga bisa beli tiket hari esok ?,Positif
Very expensive price 🤯😰😰🤯😰 Harganya sangat mahal 😰🤯🤯🤯,Negatif
Bagus. Cuman please jgn selalu bayar pake dana ya. Dana suka eror soalnya,Positif
Mudah menggunakannya,Positif
Easy to Use.,Positif
nice dan gampang bgttttt di gunakan,Positif
"Kasih bintang ⭐⭐⭐⭐❌ (4/5) dulu, punya pasal TIX FOOD XXI Lampung belum ada.",Positif
Easy,Positif
Tidak bisa melihat tempat duduk kecuali register dana. Saat mau register pun diblg koneksi internetnya ada masalah padahal baik2 aja. Waktu mau top up gbs. Parahhhhh,Negatif
"The app is overall great. Modern UI, Stable, complete with all the necessary feature such as movie and seat selections. However, the payment options available is exclusive to DANA, which makes it a less favorable app for non-DANA users. It would be much appreciated if other payment methods are included. Bank Virual Account Transfer will be a safe options",Positif
"Tolong tambahkan metode pembayaran yang lain selain dana. Saya selalu mendapatkan error ""unstable connection"" padahal jelas2 jaringan internet saya baik2 saja. Sangat mengecewakan, dan tolong jangan diberikan solusi seperti menghapus data/ mengaktifkan airplane mode untuk sementara dll, karena hal tersebut sudah saya lakukan. Semoga aplikasi ini bisa lebih baik lagi.",Negatif
Please add another e wallet option. Always getting error when use DANA,Negatif
"Please, perbaiki dong, kenapa kalau pesan tiket mendekati jam tayang pasti eror",Positif
"Apps jelek. Mau liat seat availability harus connect dana dulu. Udah donlot dana, mau connect masi disuruh update tix. Udah update masi aja gabisa connect dana, connection unstable, padahal streaming lancar2 aja. The worst, ribet.",Negatif
"Parah susah melanjutkan pembayaran, cuman bisa pake dana doang. Paling ga 2 metode dong bisa trf / gopay / shopeepay lah... Ribet bgt",Negatif
"Muter muter terus pas mau pesen, internet padahal lancar",Negatif
Sangat membantu. Satu app buat pesen semua,Positif
Very useful and easy to read the describtion,Positif
"Mohon perbaiki aplikasi kalian. Dari 2017 saya terbiasa beli tiket dari sini tapi semenjak tidak bisa konek ke DANA saya selalu ""Koneksi tidak stabil"" padahal wifi dan data saya masih ada dan kencang. Saya sudah mencoba mengikuti tips dari review lain tapi sama saja tidak bisa. Atau coba pakai metode pembayaran lain. Sampai hal ini teratasi saya masih akan berikan bintang 1.",Negatif
Very helpful,Positif
"Easy to use, especially since they have all cinema groups open for ticket sale. It's just that when doing top up, they should warn the user that they now charged Rp 500 from the total amount, and so far the F&B feature has yet to work (whenever I open it, it just said 'operational hour is A to B, unable to click anything despite opening it at said hour)",Positif
"Aplikasi apaan nih?? mau beli tiket susah,ngelink sama bioskopnya pun engga.sampe jd beli tiket lsg di bioskop,tapi di aplikasi status kursinya masih kosong. Boro2 ngerasain diskonnya, auto uninstall.",Negatif
"I feel like this app is a scam. The only payment methode is by Dana, but after I installed Dana, did the top up and want to buy tickets, what appeared instead is unstable connection. It goes on and on so i cant do the transaction. Very bad impression.",Negatif
kntl mau bayar lama bener gangguannya,Negatif
"Gak ada yg voucher pengguna baru,.",Positif
Happy banget dpt voucher xixixi,Positif
